#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2024-04-08 17:47:15 EDT     (caww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12200500 SKAGIT RIVER NEAR MOUNT VERNON, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12200500	194	1959-08-29		Yes	JRW	USGS	14.69	14400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14400	610	4890	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	195	1959-10-02		Yes	JRW	USGS	14.39	13700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13700	610	4860	2.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	196	1959-11-08		Yes	JRW	USGS	14.36	13700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13700	610	4760	2.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	197	1959-12-14		Yes	JRW	USGS	16.30	18300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	18300	615	5400	3.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	198	1960-01-17		Yes	JRW	USGS	13.59	11900	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	11900	605	4080	2.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	199	1960-02-17		Yes	WMM	USGS	16.46	18500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	18500	615	5940	3.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	200	1960-03-22		Yes	WMM	USGS	13.96	13000	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13000	610	4580	2.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	201	1960-05-04		Yes	JRW	USGS	15.61	16500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	16500	615	5570	2.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	202	1960-06-02		Yes	EAJ	USGS	17.80	21300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	21300	623	6020	3.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	203	1960-07-14		Yes	DR	USGS	15.87	18000	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	18000	610	5470	3.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	204	1960-08-20		Yes	JRW	USGS	12.97	10800	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	10800	600	3910	2.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	205	1960-09-23		Yes	WMD	USGS	10.52	5400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	5400	565	2600	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	206	1960-11-10		Yes	WMD	USGS	13.74	12300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	12300	610	4440	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	207	1960-12-22		Yes	WMD	USGS	15.17	15400	Unspecified			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	15400	610	5600	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	208	1961-01-17		Yes	WMD/JRW	USGS	25.32	54500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	54500	642	11900	4.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	209	1961-01-27		Yes	WMD	USGS	14.37	13700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13700	605	5010	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	210	1961-03-03		Yes	WMD	USGS	16.25	18200	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	18200	614	6060	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	211	1961-03-31		Yes	WMD	USGS	14.26	13500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13500	605	4950	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	212	1961-05-12		Yes	WMD	USGS	15.88	16500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	16500	615	5910	2.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	213	1961-06-16		Yes	WMD	USGS	21.52	36000	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	36000	629	9580	3.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	214	1961-08-11		Yes	WMD/Pot	USGS	12.63	9020	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	9020	605	3300	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	215	1961-09-11		Yes	WMD/Gre	USGS	11.37	6780	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	6780	599	2800	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	216	1961-10-20		Yes	WMD	USGS	13.17	10600	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	10600	612	4090	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	217	1961-12-01		Yes	WMD	USGS	14.22	14000	Fair			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14000	609	5030	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	218	1962-01-17		Yes	WMD	USGS	14.55	14400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14400	610	5340	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	219	1962-03-19		Yes	AS	USGS	12.87	10500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	10500	600	3860	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	220	1962-04-20		Yes	AS	USGS	15.50	16300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	16300	608	5590	2.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	221	1962-05-21		Yes	AS	USGS	12.73	9910	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	9910	600	3980	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	222	1962-06-26		Yes	AS/Mor	USGS	19.82	30100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	30100	620	8450	3.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	223	1962-08-10		Yes	AS	USGS	14.44	13300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13300	604	5230	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	224	1962-09-11		Yes	AS/Mor	USGS	12.31	9040	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	9040	600	3730	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	225	1962-10-17		Yes	AS	USGS	13.27	10700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	10700	604	4310	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	226	1962-11-21		Yes	EAJ	USGS		51100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	51100	638	12000	4.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	227	1963-01-04		Yes	AS	USGS	21.73	36100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	36100	628	9750	3.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	228	1963-02-05		Yes	AS	USGS	26.59	61600	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	61600	645			UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	229	1963-03-12		Yes	AS	USGS	13.90	12200	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	12200	604	4490	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	230	1963-04-23		Yes	AS	USGS	14.10	13200	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13200	604	4770	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	231	1963-06-11		Yes	AS	USGS	16.83	20300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	20300	614	6550	3.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	232	1963-07-04		Yes	LEJ	USGS	16.05	18100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	18100	610	6180	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	233	1963-08-15		Yes	LEJ	USGS	13.33	11300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	11300	605	4660	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	234	1963-09-23		Yes	AS/RR	USGS	12.36	9290	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	9290	602	3600	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	235	1963-10-28		Yes	AWM	USGS	16.55	19300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	19300	613	6440	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	236	1963-12-06		Yes	AWM	USGS		22300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	22300	617	6950	3.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	237	1964-01-11		Yes	AWM	USGS		17100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17100	611	5870	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	238	1964-02-14		Yes	AWM	USGS	14.60	14400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14400	600	5060	2.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	239	1964-03-20		Yes	AWM	USGS	15.28	16400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	16400	610	5580	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	240	1964-04-23		Yes	AWM	USGS	14.88	15000	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	15000	610	5380	2.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
